name,batch,customer,vertical,buyer,job,budget,model,pricing,ai_role,scope,regulated,physical,sells_to_ai_builders,labor_replaced,wedge_to_platform
Menza,W26,enterprise,consumer-goods,vp analytics,revenue and cost anomaly analysis,labor,saas,unk,core,narrow,n,n,n,data analyst,n
Bidflow,W26,smb,construction,electrical contractor owner,electrical takeoffs and bid estimating,labor,saas,unk,core,narrow,n,n,n,estimator,n
"Galactic Resource Utilization Space, Inc. (GRU Space)",W26,unk,space,unk,lunar habitat and brick manufacturing,new,hardware-robotics,unk,none,narrow,n,y,n,none,y
Signals,W26,smb,ecommerce,head of retention,iMessage repeat-purchase conversations,software,saas,unk,none,narrow,n,n,n,none,n
Overdrive Health,W26,smb,healthcare-provider,practice owner,medical billing and collections,labor,ai-native-service,unk,core,narrow,y,n,n,medical biller,n
Autumn AI,W26,developer,data,vp data,people and company profile indexing,software,infra-api,unk,incidental,horizontal,n,n,n,none,n
Pollen,W26,midmarket,customer-success,vp customer success,churn and upsell signal detection,labor,saas,unk,core,narrow,n,n,n,customer success manager,n
Button Computer,W26,consumer,consumer-electronics,consumer,clip-on voice AI device,new,hardware-robotics,unk,core,horizontal,n,y,n,none,n
Alt-X,W26,mixed,private-markets,unk,"private asset diligence, matching and trading",labor,marketplace,unk,core,vertical-suite,y,n,n,secondary broker,n
Velum Labs,W26,midmarket,data,head of data,data quality monitoring and enforcement,software,saas,unk,incidental,horizontal,n,n,n,none,y
Travo,W26,unk,real-estate,unk,unk,unk,other,unk,unk,unk,n,n,n,unk,n
Agentic Fabriq,W26,enterprise,security,ciso,AI agent identity and permissions,new,saas,unk,core,horizontal,n,n,n,none,n
Captain,W26,developer,ai-infra,vp eng,multimodal file retrieval for agents,software,infra-api,unk,core,horizontal,n,n,y,none,n
Oxus,W26,enterprise,accounting,chief audit executive,internal audit workflow automation,labor,saas,unk,core,narrow,y,n,n,internal auditor,n
General Astronautics,W26,unk,space,unk,microgravity research and manufacturing robots,new,hardware-robotics,unk,none,narrow,n,y,n,none,n
Vector Legal,W26,smb,legal,founder,startup corporate legal services,labor,ai-native-service,unk,core,vertical-suite,y,n,n,lawyer,y
Voltair,W26,enterprise,energy,vp asset management,power grid drone inspection,labor,hardware-robotics,unk,core,narrow,n,y,n,line inspector,y
Crosslayer Labs,W26,enterprise,security,ciso,internet infrastructure impersonation monitoring,software,saas,unk,none,horizontal,n,n,n,none,n
Ndea,W26,unk,ai-research,unk,frontier AI for scientific innovation,new,other,unk,core,platform,n,n,n,none,n
Inviscid AI,W26,enterprise,energy,facilities director,building and data center HVAC optimization,new,saas,unk,core,narrow,n,y,n,none,n
ClaimGlide,W26,smb,healthcare-provider,practice manager,prior authorization submissions,labor,ai-native-service,unk,core,narrow,y,n,n,prior auth specialist,n
Haladir,W26,enterprise,logistics,vp supply chain,supply chain planning and execution decisions,labor,saas,unk,core,vertical-suite,n,n,n,supply chain planner,n
Mantis,W26,unk,unk,unk,predictive models of human behavior,new,other,unk,core,horizontal,n,n,n,none,n
CatchBack Cards,W26,consumer,collectibles,consumer,digital mystery card pack ripping,new,consumer-app,unk,none,narrow,n,y,n,none,n
