name,batch,customer,vertical,buyer,job,budget,model,pricing,ai_role,scope,regulated,physical,sells_to_ai_builders,labor_replaced,wedge_to_platform
jo,X26,consumer,horizontal,consumer,personal task and life follow-through,new,consumer-app,unk,core,horizontal,n,n,n,personal assistant,n
Autostep,X26,enterprise,horizontal,coo,map work and automate bottleneck tasks,labor,ai-native-service,unk,core,horizontal,n,n,n,process consultant,n
Humwork,X26,developer,ai-infra,vp eng,human expert escalation for AI agents,new,marketplace,unk,core,horizontal,n,n,y,none,n
Miso Labs,X26,developer,ai-infra,vp eng,emotive voice foundation models,software,infra-api,unk,core,horizontal,n,n,y,none,n
Foresight,X26,enterprise,cpg,head of consumer insights,simulate consumer choices for market research,labor,saas,unk,core,narrow,n,n,n,market researcher,n
Smartbase,X26,midmarket,manufacturing,coo,manufacturing ERP,software,saas,unk,core,vertical-suite,n,n,n,none,n
FinalDose,X26,unk,pharma,unk,programmable DNA-recognition cancer drug,unk,other,unk,none,narrow,y,y,n,none,y
Prism,X26,unk,hr,head of talent,candidate sourcing and placement,labor,ai-native-service,unk,core,horizontal,n,n,n,recruiter,n
TakeCareOS,X26,smb,long-term-care,care agency owner,care scheduling billing documentation compliance,labor,saas,unk,core,vertical-suite,y,n,n,care admin staff,y
Ploy,X26,unk,marketing,cmo,website-driven growth,unk,saas,unk,unk,horizontal,n,n,n,none,n
Advanced Metal Research,X26,midmarket,manufacturing,plant manager,robotic welding cells,labor,hardware-robotics,unk,core,narrow,n,y,n,welder,n
Linzumi,X26,developer,software-engineering,vp eng,direct coding agents from team chat,software,saas,unk,core,horizontal,n,n,n,none,y
Clara,X26,consumer,healthcare-provider,consumer,AI primary care and longevity practice,labor,ai-native-service,unk,core,vertical-suite,y,n,n,primary care physician,n
Imperfect,X26,consumer,fitness,consumer,adaptive endurance training and recovery plans,labor,consumer-app,unk,unk,narrow,n,n,n,endurance coach,n
Fuchsia,X26,midmarket,hardware,head of compliance,hardware certification and testing,labor,ai-native-service,unk,core,narrow,y,y,n,certification consultant,n
Cignara,X26,enterprise,horizontal,vp customer support,voice and chat sales and support,labor,saas,unk,core,horizontal,n,n,n,support agent,n
Drafted,X26,consumer,real-estate,homeowner,generate home floor plans and elevations,labor,consumer-app,unk,core,narrow,n,n,n,architect,n
9 Mothers,X26,government,defense,dow program office,counter-drone interceptor systems,new,hardware-robotics,unk,incidental,narrow,y,y,n,none,n
Sazabi,X26,developer,software-engineering,vp eng,observability for engineering teams,software,saas,unk,core,horizontal,n,n,n,none,n
Netter,X26,midmarket,horizontal,coo,centralize data and automate workflows,labor,saas,unk,core,platform,n,n,n,data engineer,n
Superset,X26,developer,software-engineering,vp eng,run hundreds of coding agents in parallel,software,saas,unk,core,horizontal,n,n,n,none,n
Inth,X26,midmarket,security,head of privacy,privacy compliance scanning and fixes,software,saas,unk,core,horizontal,y,n,n,privacy analyst,n
Regbase,X26,unk,legal,general counsel,corporate compliance automation,labor,saas,unk,unk,horizontal,y,n,n,corporate paralegal,n
Bloom,X26,unk,marketing,head of brand,on-brand creative generation via API,labor,infra-api,unk,core,horizontal,n,n,n,designer,n
Dispatch,X26,enterprise,aerospace,head of manufacturing,return in-space manufactured payloads,new,hardware-robotics,unk,none,narrow,y,y,n,none,n
Hedge,X26,unk,insurance,insurance broker,specialty insurance underwriting,unk,fintech-balance-sheet,unk,core,narrow,y,n,n,underwriter,n
Surtr Defense Systems,X26,government,defense,program office,counter-UAS sensor fusion and C2,software,saas,unk,core,platform,y,y,n,none,y
Klarify,X26,smb,mental-health,therapist practice owner,therapy notes claims and practice admin,labor,saas,unk,core,vertical-suite,y,n,n,practice admin and biller,n
Korso,X26,unk,horizontal,unk,general-purpose assistant,unk,other,unk,unk,horizontal,n,n,n,assistant,n
primitive,X26,developer,ai-infra,vp eng,communication infrastructure for agents,new,infra-api,unk,core,horizontal,n,n,y,none,n
Standard Signal,X26,unk,asset-management,allocator,AI-run hedge fund trading,unk,fintech-balance-sheet,unk,core,narrow,y,n,n,analyst and trader,n
Stage,X26,developer,software-engineering,vp eng,review AI-generated pull requests,software,saas,unk,core,horizontal,n,n,n,none,n
"PerfectBit, Inc.",X26,unk,robotics,unk,learned robot manipulation policies,unk,hardware-robotics,unk,core,horizontal,n,y,n,none,n
