name,batch,customer,vertical,buyer,job,budget,model,pricing,ai_role,scope,regulated,physical,sells_to_ai_builders,labor_replaced,wedge_to_platform
Baud,S26,enterprise,ai-infra,cto,chips for AI training and inference,software,hardware-robotics,unk,core,horizontal,n,y,y,none,n
Async,S26,smb,horizontal,business owner,running small-business back-office work,new,ai-native-service,unk,core,horizontal,n,n,n,office staff,n
Induction Labs,S26,unk,ai-infra,unk,training curious foundation models,unk,other,unk,core,platform,n,n,n,none,n
OS3,S26,mixed,horizontal,coo,low-cost humanoid robot labor,labor,hardware-robotics,unk,core,platform,n,y,n,manual laborer,n
Evergrove,S26,enterprise,healthcare-payer,vp operations,work comp care coordination calls,labor,saas,unk,core,narrow,y,n,n,care coordinator,y
Tensr,S26,enterprise,manufacturing,vp manufacturing,robotic contract manufacturing of robots,unk,hardware-robotics,unk,incidental,narrow,n,y,n,factory worker,n
Sunflower,S26,consumer,healthcare-provider,consumer,addiction telemedicine and AI sponsor,labor,ai-native-service,subscription,core,narrow,y,n,n,addiction counselor,y
Frontier Computing,S26,enterprise,ai-infra,unk,biological neural compute for training,unk,other,unk,core,horizontal,n,y,y,none,n
Waddle Labs,S26,unk,robotics,unk,LLM control of robots,unk,other,unk,core,horizontal,n,y,n,none,n
OneTriangle,S26,developer,ai-infra,vp eng,low-cost LLM inference hosting,software,infra-api,unk,core,horizontal,n,n,y,none,n
"Prescience, Inc.",S26,unk,healthcare-payer,head of people,employer health plan insurance and care,unk,fintech-balance-sheet,unk,core,vertical-suite,y,n,n,none,n
Rapidfolio,S26,midmarket,banking,coo,"fraud, KYC/KYB, underwriting back-office work",labor,saas,unk,core,vertical-suite,y,n,n,back-office analyst,n
Assemble,S26,enterprise,horizontal,cio,ERP/CRM/HRIS development and configuration,labor,saas,unk,core,horizontal,n,n,n,IT developer,n
Archal,S26,developer,software-engineering,vp eng,API sandboxes for agent testing,new,infra-api,unk,core,horizontal,n,n,y,none,n
Datoric,S26,enterprise,ai-infra,head of data at ai lab,custom training datasets for physical AI,new,other,unk,core,narrow,n,n,y,none,n
Libra Robotics,S26,enterprise,construction,epc project director,solar farm and data center installation,labor,hardware-robotics,unk,core,narrow,n,y,n,construction laborer,n
Ekpa,S26,unk,asset-management,unk,autonomous trading research,unk,other,unk,core,narrow,n,n,n,quant researcher,n
Meteoric,S26,enterprise,energy,asset owner,drone cloud clearing over solar farms,new,hardware-robotics,unk,none,narrow,n,y,n,none,y
Atlia,S26,smb,real-estate,property owner,short-term rental property management,labor,ai-native-service,outcome,core,narrow,n,y,n,property manager,n
Dream,S26,midmarket,automotive,operations manager,vehicle and equipment damage inspection,labor,hardware-robotics,unk,core,narrow,n,y,n,lot inspector,n
Tsenta,S26,consumer,careers,consumer,automated job search and applications,new,consumer-app,unk,core,narrow,n,n,n,none,n
Control Seat,S26,enterprise,manufacturing,plant manager,plant monitoring and operations intelligence,software,saas,unk,core,vertical-suite,n,y,n,none,y
Cova,S26,consumer,healthcare-provider,consumer,running a home care agency,labor,ai-native-service,unk,core,narrow,y,y,n,agency admin staff,n
Poth Labs,S26,unk,horizontal,head of product,customer behavior root-cause research,labor,saas,unk,core,horizontal,n,n,n,user researcher,n
