name,batch,customer,vertical,buyer,job,budget,model,pricing,ai_role,scope,regulated,physical,sells_to_ai_builders,labor_replaced,wedge_to_platform
Tire Swing,F26,midmarket,real-estate,head of compliance,affordable housing eligibility recertifications,labor,ai-native-service,unk,core,narrow,y,n,n,compliance consultant,n
The Company Company,F26,unk,horizontal,ceo,run company operations with one agent,labor,saas,unk,core,platform,n,n,n,general staff,n
GodHands,F26,enterprise,horizontal,coo,reconstruct departing employee work and knowledge,new,saas,unk,core,horizontal,n,n,n,none,n
Degla Inc,F26,unk,drones,drone operations lead,natural-language multi-drone mission execution,labor,saas,unk,core,horizontal,n,y,n,drone pilot,n
Collar,F26,midmarket,investor-relations,head of ir,earnings prep and investor targeting,labor,saas,unk,core,narrow,n,n,n,ir analyst,n
Nxtcure Labs,F26,mixed,pharma,head of r&d,drug discovery CRO services,labor,ai-native-service,unk,core,platform,y,y,n,cro scientist,y
RightNow,F26,developer,ai-infra,vp eng,optimized GPU kernels and model serving,software,infra-api,usage,core,horizontal,n,n,y,none,n
Hickory & Company,F26,midmarket,banking,bsa officer,BSA/AML compliance operations,labor,saas,unk,core,narrow,y,n,n,compliance analyst,n
Roma,F26,consumer,horizontal,consumer,personal task capture and execution,new,consumer-app,unk,core,horizontal,n,n,n,personal assistant,n
Lyon,F26,enterprise,banking,chief data officer,credit fraud and churn prediction models,software,infra-api,unk,core,vertical-suite,y,n,n,data scientist,n
Definite,F26,midmarket,accounting,cfo,back-office finance agents on unified books,software,saas,unk,core,platform,n,n,n,accounting clerk,n
Veltha,F26,enterprise,insurance,head of claims,workers comp claims administration,labor,ai-native-service,unk,core,narrow,y,n,n,claims adjuster,y
isoquant,F26,developer,ai-infra,vp eng,self-optimizing AI inference hosting,software,infra-api,unk,core,horizontal,n,n,y,none,n
Grep AI,F26,mixed,horizontal,head of operations,research-intensive knowledge work agents,labor,saas,unk,core,platform,n,n,n,research analyst,n
Lightfield,F26,enterprise,legal,general counsel,in-house legal request handling and drafting,labor,saas,unk,core,vertical-suite,n,n,n,junior in-house counsel,n
Simantic,F26,unk,hardware-engineering,vp firmware engineering,embedded firmware hardware simulation,software,saas,unk,incidental,narrow,n,n,n,none,n
