date,round,paragraph,kind,need,value,market,risk,verdict
2026-09-24,validation,Hickory & Company (bank compliance agents),control,4,3,2,2,PASS
2026-09-24,validation,Grep AI (research agent platform),control,4,2,4,2,PASS
2026-09-24,validation,TrueMile (trucking dispatch agents),control,3,2,2,2,PASS
2026-09-24,validation,Shire Intelligence (restaurant floor cameras),control,4,3,3,2,BACK
2026-09-24,validation,Tire Swing (housing income certification),excluded,4,3,3,2,PASS
2026-09-24,validation,Capveon (pre-bid infrastructure),control,4,2,2,2,PASS
2026-09-24,validation,Bryel (custom model training),control,4,2,3,2,PASS
2026-09-24,validation,GrayPass (keyboard identity check),control,3,2,2,2,PASS
2026-09-24,validation,Assay (AI review certification),candidate,3,2,2,2,PASS
2026-09-24,loop1,Sona8 (employee interview voice agent),control,4,3,3,2,PASS
2026-09-24,loop1,Simulithic (simulated-user product testing),control,4,2,3,2,PASS
2026-09-24,loop1,Papaya (agent optimization after deploy),control,4,2,3,2,PASS
2026-09-24,loop1,Arc flash studies from equipment photos,candidate,4,3,2,2,PASS
2026-09-24,loop1,Credit dispute response for collectors,candidate,4,3,2,2,PASS
2026-09-24,loop1,LTC Medicaid applications for nursing homes,candidate,4,2,2,2,PASS
2026-09-24,loop1,Sona8 (employee interview voice agent),control,4,3,3,2,PASS
2026-09-24,loop1,Sona8 (employee interview voice agent),control,4,4,3,2,BACK
2026-09-24,loop1,Sona8 (employee interview voice agent),control,4,3,3,2,BACK
2026-09-24,loop1,Simulithic (simulated-user product testing),control,3,2,3,1,PASS
2026-09-24,loop1,Simulithic (simulated-user product testing),control,4,2,3,2,PASS
2026-09-24,loop1,Simulithic (simulated-user product testing),control,4,2,3,2,PASS
2026-09-24,loop1,Arc flash studies from equipment photos,candidate,4,3,2,2,PASS
2026-09-24,loop1,Arc flash studies from equipment photos,candidate,4,2,2,2,PASS
2026-09-24,loop1,Arc flash studies from equipment photos,candidate,4,2,2,2,PASS
2026-09-24,loop1,Credit dispute response for collectors,candidate,4,3,2,3,BACK
2026-09-24,loop1,Credit dispute response for collectors,candidate,4,3,2,2,PASS
2026-09-24,loop1,Credit dispute response for collectors,candidate,4,2,2,2,PASS
2026-09-24,loop1,Papaya (agent optimization after deploy),control,4,2,3,2,PASS
2026-09-24,loop1,Papaya (agent optimization after deploy),control,4,2,3,2,PASS
2026-09-24,loop1,Arc flash studies from equipment photos,candidate,4,3,2,2,PASS
2026-09-24,loop1,Credit dispute response for collectors,candidate,4,3,3,2,BACK
2026-09-25,loop2,Forward (private credit origination),control,3,3,3,2,BACK
